002026,2004-07-27
600213,1999-08-31
603606,2014-10-15
002015,2004-07-08
002249,2008-06-19
002548,2011-02-18
000582,1995-11-02
300233,2011-06-22
603269,2017-05-17
600120,1997-12-01
603578,2017-03-06
600854,1994-04-25
300449,2015-04-22
300129,2010-10-19
600933,2017-11-17
300455,2015-05-15
603330,2017-02-13
300722,2017-11-10
600675,1993-09-24
600722,1996-06-26
300242,2011-07-12
002220,2008-02-28
300405,2014-10-30
000710,1997-04-22
002826,2016-12-09
603178,2017-03-28
002598,2011-07-07
002451,2010-07-20
600642,1993-04-16
002188,2007-11-22
600352,2003-08-01
300119,2010-09-17
300181,2011-02-22
600738,1996-08-02
002937,2018-09-26
000639,1996-11-26
603360,2017-02-06
600970,2005-04-12
600707,1996-05-20
600048,2006-07-31
300694,2018-10-15
600133,1998-02-12
300058,2010-02-26
600185,1999-06-11
000721,1997-04-30
603963,2017-09-22
603519,2015-03-19
002122,2007-03-28
600745,1996-08-28
002107,2007-01-24
000591,1996-02-08
300029,2009-12-25
000815,1998-06-09
002112,2007-02-08
601595,2016-08-17
002557,2011-03-02
603880,2017-08-07
603505,2017-05-03
002342,2010-01-26
002206,2008-01-23
603021,2015-04-23
000666,1996-12-10
300330,2012-06-19
002097,2006-12-22
300255,2011-08-19
300540,2016-08-23
300363,2014-01-29
300314,2012-05-08
600408,2003-02-12
600054,1997-05-06
601038,2012-08-08
000927,1999-07-27
000554,1993-12-15
300047,2010-01-20
002692,2012-08-08
002605,2011-08-05
600409,2003-06-18
600736,1996-08-15
002679,2012-06-05
300567,2016-11-22
600665,1993-07-09
600306,2000-12-26
300212,2011-05-05
600161,1998-06-16
000565,1994-04-08
600638,1993-03-26
600648,1993-05-04
300481,2015-06-30
002116,2007-02-15
300640,2017-04-17
002734,2015-01-27
300680,2017-07-25
603156,2018-02-12
603701,2016-04-12
600847,1994-03-24
002263,2008-07-28
000910,1999-06-30
000821,1998-06-26
300244,2011-07-19
300686,2017-08-04
300347,2012-08-17
603043,2017-06-27
002103,2007-01-10
600732,1996-08-16
300760,2018-10-16
002571,2011-04-12
603385,2017-04-05
603899,2015-01-27
