code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
002886,沃特股份,塑料,深圳,69.98,0.2,0.78,65322.8,0.0,0.0,0.0,0.0,0.113,6.21,5.08,20170627,0.0,0.0,0.0,0.0,0.0,6.37,39213.0
002104,恒宝股份,元器件,江苏,42.36,7.03,7.14,212172.8,139667.56,32780.42,8478.66,0.12,0.057999999999999996,2.35,4.18,20070110,70952.65,0.99,-23.07,-29.46,34.1,14.1,78882.0
600722,金牛化工,化工原料,河北,164.25,6.8,6.8,132774.38,101570.96,24859.01,164531.3,2.42,0.031,1.33,7.75,19960626,-151569.34,-2.23,30.51,270.14,11.15,4.89,53414.0
300541,先进数通,软件服务,北京,99.69,0.3,1.2,114454.01,107292.32,633.27,35526.71,2.96,0.151,5.97,5.06,20160913,21397.89,1.78,-3.8,-28.16,20.5,4.95,16739.0
002828,贝肯能源,石油开采,新疆,80.52,0.29,1.17,113360.42,78448.18,31176.24,32999.48,2.82,0.155,7.23,3.44,20161208,31487.69,2.69,29.18,37.6,24.79,8.84,15056.0
603389,亚振家居,家居用品,江苏,80.16,0.55,2.19,101024.9,80498.46,12276.46,37824.03,1.73,0.105,3.86,4.35,20161215,22897.64,1.05,0.0,0.0,58.4,9.04,19941.0
002061,江山化工,化工原料,浙江,18.75,4.53,6.62,500309.75,144449.84,301065.25,204299.45,3.09,0.32,4.16,2.66,20060816,-11443.67,-0.17,34.39,1121.64,19.83,8.78,50251.0
600652,游久游戏,互联网,上海,139.24,6.75,8.33,245471.72,32186.6,2910.75,89066.07,1.07,0.017,2.63,3.67,19901219,42371.26,0.51,-30.18,76.24,69.02,25.08,94934.0
002771,真视通,软件服务,北京,70.06,0.71,1.62,92454.47,77912.71,11899.33,19851.2,1.23,0.184,3.73,6.89,20150629,22861.32,1.41,8.37,-7.91,25.95,7.94,18243.0
600183,生益科技,元器件,广东,17.85,14.54,14.54,1000734.81,582241.94,357840.5,119805.01,0.82,0.2,3.7,3.77,19981028,201644.02,1.39,25.6,85.53,24.97,11.93,54772.0
300668,杰恩设计,装修装饰,深圳,53.15,0.11,0.42,43492.8,33772.5,8590.76,20319.84,4.82,0.81,8.25,7.95,20170619,9984.8,2.37,0.0,0.0,51.58,22.85,15774.0
000912,泸天化,农药化肥,四川,746.71,5.85,5.85,772073.06,129044.63,566018.31,97935.56,1.67,0.003,0.21,44.61,19990603,-192930.66,-3.3,-2.13,104.63,14.92,0.22,87151.0
600373,中文传媒,出版业,江西,16.97,12.82,13.78,1908227.75,1162452.38,124755.45,543895.56,3.95,0.34299999999999997,8.3,2.81,20020304,448813.91,3.26,-8.12,24.13,41.93,16.2,25275.0
300563,神宇股份,通信设备,江苏,57.63,0.2,0.8,62794.51,33586.98,23752.5,15894.55,1.99,0.29100000000000004,5.39,6.22,20161114,17368.63,2.17,9.69,17.21,26.68,15.48,12796.0
002175,东方网络,电器仪表,广西,81.96,5.18,7.54,291286.34,119059.32,11468.99,52518.11,0.7,0.068,1.79,6.2,20071012,4711.43,0.06,25.21,131.01,44.18,16.29,68773.0
300534,陇神戎发,中成药,甘肃,173.94,0.76,3.03,76606.96,23620.15,35686.8,23148.81,0.76,0.046,2.34,6.83,20160913,14934.12,0.49,5.67,-43.49,31.46,10.68,25448.0
603178,圣龙股份,汽车配件,浙江,46.1,0.5,2.0,183607.61,85514.6,61087.63,31033.72,1.55,0.2,3.8,4.26,20170328,22424.05,1.12,0.0,0.0,20.56,4.99,21476.0
603978,深圳新星,铝,深圳,52.47,0.2,0.8,99147.65,48851.53,35915.6,12923.42,1.62,0.266,11.4,4.89,20170807,46184.55,5.77,0.0,0.0,21.34,11.35,18715.0
002407,多氟多,化工原料,河南,51.82,5.32,6.28,563403.06,292779.09,145044.42,128021.11,2.04,0.11,4.26,5.35,20100518,71762.25,1.14,25.15,-38.4,26.78,10.26,165384.0
000990,诚志股份,化工原料,江西,32.43,2.97,12.53,2008046.75,634370.13,438291.91,1290378.63,10.3,0.316,12.46,1.65,20000706,139860.92,1.12,114.3,1619.73,32.61,14.09,17443.0
600808,马钢股份,普钢,安徽,9.71,59.68,77.01,6876288.0,2644782.75,3474090.0,834872.69,1.08,0.11699999999999999,2.69,1.69,19940106,71202.06,0.09,87.91,359.0,11.44,5.2,252189.0
002582,好想你,食品,河南,28.59,2.04,5.16,458360.25,196923.13,110237.32,248670.91,4.82,0.115,6.29,2.1,20110520,42500.03,0.82,368.34,230.64,29.99,4.58,25655.0
300681,英搏尔,元器件,广东,39.56,0.19,0.76,47572.65,34071.71,5362.85,8840.71,1.17,0.301,5.11,9.32,20170725,12881.85,1.7,0.0,0.0,33.58,20.64,37806.0
603369,今世缘,白酒,江苏,14.85,12.55,12.55,630355.44,424261.0,79342.85,74271.4,0.59,0.518,4.0,3.84,20140703,268849.66,2.14,17.24,22.29,70.68,36.0,33600.0
300400,劲拓股份,专用机械,深圳,62.42,1.33,2.4,66936.13,54171.98,5024.65,2372.93,0.1,0.128,1.85,8.6,20141010,15385.65,0.64,45.04,52.06,42.85,15.15,13058.0
600571,信雅达,软件服务,浙江,98.83,4.2,4.4,172359.95,112805.95,6417.66,17894.65,0.41,0.034,2.66,5.03,20021101,49532.05,1.13,0.5,3.61,55.41,5.67,61889.0
002679,福建金森,林业,福建,0.0,1.39,1.39,163915.19,148501.3,2040.82,34162.59,2.46,-0.153,5.16,4.15,20120605,21678.06,1.56,-50.41,8.93,-44.11,-12847.61,18483.0
300310,宜通世纪,通信设备,广东,53.0,5.82,8.82,445669.56,241845.34,24752.57,204555.02,2.32,0.13,4.11,3.03,20120425,47743.71,0.54,33.75,21.98,24.39,9.9,28134.0
300671,富满电子,半导体,深圳,90.8,0.25,1.01,48510.34,36662.6,10224.03,11176.2,1.1,0.08199999999999999,3.66,8.15,20170705,8280.41,0.82,0.0,0.0,27.96,9.83,50980.0
